activity_id,type,subject,occurred_at,contact_id,opportunity_id
ACT-00004940,call,Activity 00004940,2023-05-06 08:43:07,,
ACT-00004941,meeting,Activity 00004941,2023-11-19 18:09:34,CON-0006925,OPP-0001115
ACT-00004942,email,Activity 00004942,2024-04-15 01:11:50,CON-0003393,OPP-0001516
ACT-00004943,note,Activity 00004943,2024-08-16 04:37:03,CON-0013131,
ACT-00004944,call,Activity 00004944,2023-05-19 16:08:01,,OPP-0000179
ACT-00004945,email,Activity 00004945,2024-12-24 16:20:32,,OPP-0002544
ACT-00004946,email,Activity 00004946,2025-07-07 03:28:05,CON-0009181,
ACT-00004947,call,Activity 00004947,2025-10-31 00:50:09,,OPP-0002862
ACT-00004948,email,Activity 00004948,2023-07-05 19:22:59,CON-0010783,OPP-0002813
ACT-00004949,email,Activity 00004949,2023-10-09 11:36:39,,OPP-0002687
ACT-00004950,call,Activity 00004950,2024-09-27 07:40:59,CON-0002866,
ACT-00004951,call,Activity 00004951,2025-01-16 11:09:39,CON-0009498,OPP-0001763
ACT-00004952,call,Activity 00004952,2023-11-05 00:27:28,CON-0009994,OPP-0002750
ACT-00004953,call,Activity 00004953,2025-05-19 04:31:42,CON-0010105,OPP-0001736
ACT-00004954,email,Activity 00004954,2024-08-12 08:16:55,,OPP-0001380
ACT-00004955,note,Activity 00004955,2023-09-03 20:08:05,,
ACT-00004956,call,Activity 00004956,2024-10-01 09:12:34,CON-0013231,
ACT-00004957,email,Activity 00004957,2024-08-09 17:39:35,CON-0001731,OPP-0000075
ACT-00004958,call,Activity 00004958,2024-05-15 14:13:50,CON-0014979,
ACT-00004959,call,Activity 00004959,2023-05-26 17:58:49,CON-0003263,
ACT-00004960,email,Activity 00004960,2024-04-18 13:57:00,CON-0008753,OPP-0000344
ACT-00004961,note,Activity 00004961,2024-07-18 02:28:42,CON-0005420,
ACT-00004962,email,Activity 00004962,2023-08-22 02:20:21,CON-0009148,OPP-0001132
ACT-00004963,call,Activity 00004963,2025-03-28 12:44:54,CON-0008892,OPP-0001800
ACT-00004964,call,Activity 00004964,2025-10-26 14:27:55,CON-0005689,OPP-0000268
ACT-00004965,meeting,Activity 00004965,2024-09-03 03:58:06,CON-0007018,OPP-0001827
ACT-00004966,email,Activity 00004966,2024-08-20 10:10:13,,
ACT-00004967,call,Activity 00004967,2024-03-29 15:51:21,CON-0009484,
ACT-00004968,email,Activity 00004968,2025-11-17 11:59:26,CON-0006207,OPP-0000154
ACT-00004969,email,Activity 00004969,2024-07-19 02:37:59,CON-0014532,
ACT-00004970,email,Activity 00004970,2023-03-08 03:54:21,CON-0001219,OPP-0002074
ACT-00004971,meeting,Activity 00004971,2025-07-26 03:40:05,CON-0002615,OPP-0000136
ACT-00004972,call,Activity 00004972,2025-01-24 12:50:56,CON-0009025,
ACT-00004973,call,Activity 00004973,2023-12-09 19:32:25,,
ACT-00004974,meeting,Activity 00004974,2023-03-18 00:53:03,CON-0010368,
ACT-00004975,call,Activity 00004975,2023-12-22 21:03:54,CON-0009333,OPP-0000821
ACT-00004976,email,Activity 00004976,2024-11-15 08:55:48,,OPP-0002758
ACT-00004977,call,Activity 00004977,2025-08-11 05:33:23,CON-0014296,
ACT-00004978,email,Activity 00004978,2023-01-03 04:53:17,,OPP-0002159
ACT-00004979,email,Activity 00004979,2024-12-28 06:14:59,CON-0013283,OPP-0002627
ACT-00004980,call,Activity 00004980,2023-04-08 09:25:47,CON-0012001,
ACT-00004981,call,Activity 00004981,2025-10-29 05:17:10,CON-0004618,
ACT-00004982,email,Activity 00004982,2025-11-15 19:10:53,,OPP-0001181
ACT-00004983,call,Activity 00004983,2025-12-01 11:45:58,,
ACT-00004984,demo,Activity 00004984,2025-07-19 20:07:39,,OPP-0001808
ACT-00004985,meeting,Activity 00004985,2025-11-10 21:46:55,,
ACT-00004986,meeting,Activity 00004986,2024-01-07 08:37:49,,
ACT-00004987,call,Activity 00004987,2025-07-24 12:03:23,CON-0014334,
ACT-00004988,email,Activity 00004988,2023-01-20 09:58:22,,OPP-0002110
ACT-00004989,call,Activity 00004989,2025-06-14 10:17:44,CON-0005199,
ACT-00004990,email,Activity 00004990,2025-10-07 06:38:39,CON-0012136,OPP-0001100
ACT-00004991,note,Activity 00004991,2024-06-14 03:32:56,CON-0004669,OPP-0002894
ACT-00004992,email,Activity 00004992,2023-06-22 19:41:25,,
ACT-00004993,email,Activity 00004993,2023-11-04 09:31:58,CON-0009137,
ACT-00004994,email,Activity 00004994,2024-11-03 03:10:03,,
ACT-00004995,email,Activity 00004995,2023-04-30 17:28:34,CON-0005047,
ACT-00004996,meeting,Activity 00004996,2023-07-01 06:10:39,CON-0007094,
ACT-00004997,demo,Activity 00004997,2025-10-04 06:50:59,CON-0002473,OPP-0002614
ACT-00004998,call,Activity 00004998,2024-01-05 16:01:04,CON-0004896,
ACT-00004999,demo,Activity 00004999,2024-04-27 20:34:05,CON-0014646,OPP-0000848
ACT-00005000,call,Activity 00005000,2024-09-23 18:31:22,CON-0009845,
ACT-00005001,call,Activity 00005001,2025-10-16 14:19:57,CON-0004500,OPP-0000101
ACT-00005002,demo,Activity 00005002,2023-06-29 09:35:41,,
ACT-00005003,call,Activity 00005003,2023-02-20 01:38:20,CON-0006570,OPP-0000768
ACT-00005004,meeting,Activity 00005004,2023-05-14 21:03:21,,
ACT-00005005,demo,Activity 00005005,2024-11-09 16:47:24,CON-0003040,
ACT-00005006,email,Activity 00005006,2025-03-15 02:03:02,CON-0011257,OPP-0000539
ACT-00005007,email,Activity 00005007,2025-10-30 18:44:40,,
ACT-00005008,call,Activity 00005008,2023-07-02 18:38:47,CON-0014462,
ACT-00005009,call,Activity 00005009,2024-03-15 15:00:37,CON-0003272,
ACT-00005010,note,Activity 00005010,2023-06-10 06:34:49,CON-0005475,
ACT-00005011,call,Activity 00005011,2023-10-14 14:20:49,,OPP-0001776
ACT-00005012,meeting,Activity 00005012,2023-06-06 03:51:59,CON-0004149,
ACT-00005013,email,Activity 00005013,2024-11-02 07:07:00,,OPP-0001351
ACT-00005014,call,Activity 00005014,2024-08-06 22:42:55,,
ACT-00005015,email,Activity 00005015,2024-08-12 04:10:13,CON-0006395,OPP-0000496
ACT-00005016,call,Activity 00005016,2025-01-13 17:55:40,CON-0005794,
ACT-00005017,call,Activity 00005017,2024-01-01 19:04:10,CON-0012164,
ACT-00005018,email,Activity 00005018,2024-10-09 19:50:42,,OPP-0001060
ACT-00005019,email,Activity 00005019,2024-11-27 03:36:51,CON-0013368,
ACT-00005020,call,Activity 00005020,2025-10-05 21:34:37,CON-0012975,
ACT-00005021,note,Activity 00005021,2023-10-12 02:13:00,CON-0005208,
ACT-00005022,call,Activity 00005022,2025-03-10 04:22:23,CON-0014562,
ACT-00005023,email,Activity 00005023,2023-11-30 02:52:57,,OPP-0002362
ACT-00005024,meeting,Activity 00005024,2024-09-17 12:16:19,CON-0005826,
ACT-00005025,email,Activity 00005025,2023-06-20 21:43:20,CON-0011285,OPP-0000625
ACT-00005026,meeting,Activity 00005026,2024-06-13 04:48:42,CON-0000013,OPP-0001559
ACT-00005027,email,Activity 00005027,2025-01-12 17:09:48,CON-0012167,OPP-0002901
ACT-00005028,call,Activity 00005028,2025-10-23 16:34:54,,
ACT-00005029,note,Activity 00005029,2025-06-12 01:31:58,,
ACT-00005030,demo,Activity 00005030,2024-08-08 14:14:40,CON-0013175,
ACT-00005031,call,Activity 00005031,2024-02-03 10:11:54,CON-0002639,
ACT-00005032,email,Activity 00005032,2023-02-18 12:00:59,,OPP-0000976
ACT-00005033,note,Activity 00005033,2023-09-10 08:46:37,CON-0014630,OPP-0000722
ACT-00005034,call,Activity 00005034,2024-06-25 13:51:27,,
ACT-00005035,email,Activity 00005035,2023-09-21 22:51:35,,
ACT-00005036,note,Activity 00005036,2024-12-16 03:22:24,,
ACT-00005037,meeting,Activity 00005037,2025-06-28 16:51:46,,
ACT-00005038,demo,Activity 00005038,2023-01-13 00:15:56,CON-0011705,OPP-0002133
ACT-00005039,call,Activity 00005039,2023-12-15 15:58:35,CON-0011202,OPP-0002897
ACT-00005040,demo,Activity 00005040,2023-08-03 12:38:31,,
ACT-00005041,demo,Activity 00005041,2025-06-02 09:16:27,,OPP-0002761
ACT-00005042,call,Activity 00005042,2023-08-02 10:25:49,CON-0011747,
ACT-00005043,email,Activity 00005043,2023-07-19 06:30:54,CON-0005911,OPP-0000404
ACT-00005044,note,Activity 00005044,2023-07-14 07:31:21,,OPP-0002327
ACT-00005045,call,Activity 00005045,2025-01-11 12:10:40,,OPP-0002294
ACT-00005046,call,Activity 00005046,2023-08-19 12:30:34,,
ACT-00005047,email,Activity 00005047,2024-04-17 01:05:38,CON-0007705,
ACT-00005048,demo,Activity 00005048,2025-09-02 23:43:49,CON-0008915,
ACT-00005049,email,Activity 00005049,2025-01-20 09:02:42,CON-0012743,OPP-0000168
ACT-00005050,email,Activity 00005050,2025-08-01 09:00:52,CON-0007284,OPP-0002516
ACT-00005051,meeting,Activity 00005051,2024-04-14 14:23:26,CON-0010144,
ACT-00005052,call,Activity 00005052,2025-06-16 13:25:23,CON-0001587,
ACT-00005053,email,Activity 00005053,2024-11-14 20:56:35,CON-0000252,
ACT-00005054,email,Activity 00005054,2025-12-18 09:18:47,,
ACT-00005055,call,Activity 00005055,2024-09-28 12:47:09,,
ACT-00005056,meeting,Activity 00005056,2024-12-25 16:54:47,,OPP-0001499
ACT-00005057,call,Activity 00005057,2023-02-14 07:37:44,,OPP-0001341
ACT-00005058,meeting,Activity 00005058,2025-03-17 10:34:40,CON-0004177,
ACT-00005059,email,Activity 00005059,2025-07-01 03:11:02,,
ACT-00005060,email,Activity 00005060,2024-05-20 17:51:09,,OPP-0000066
ACT-00005061,email,Activity 00005061,2023-04-14 05:57:18,CON-0001397,
ACT-00005062,demo,Activity 00005062,2023-02-11 23:13:31,CON-0004724,OPP-0001929
ACT-00005063,demo,Activity 00005063,2025-04-02 06:27:29,CON-0008484,OPP-0002221
ACT-00005064,email,Activity 00005064,2024-02-08 10:28:00,CON-0013095,OPP-0002948
ACT-00005065,email,Activity 00005065,2025-01-19 08:08:47,CON-0004382,OPP-0001005
ACT-00005066,note,Activity 00005066,2024-01-11 06:56:57,CON-0012640,
ACT-00005067,call,Activity 00005067,2023-06-18 10:11:38,CON-0000223,OPP-0001869
ACT-00005068,email,Activity 00005068,2023-09-26 16:59:47,CON-0007268,
ACT-00005069,demo,Activity 00005069,2025-06-05 22:17:11,CON-0010707,
ACT-00005070,meeting,Activity 00005070,2025-11-05 02:26:38,CON-0003988,OPP-0002176
ACT-00005071,call,Activity 00005071,2025-12-02 06:39:32,,OPP-0001791
ACT-00005072,email,Activity 00005072,2024-05-09 09:21:32,,
ACT-00005073,email,Activity 00005073,2024-03-18 13:31:00,,
ACT-00005074,meeting,Activity 00005074,2023-10-05 23:58:11,CON-0014286,
ACT-00005075,meeting,Activity 00005075,2024-05-08 23:31:55,CON-0004089,OPP-0001709
ACT-00005076,call,Activity 00005076,2024-05-14 00:37:47,CON-0002352,OPP-0001472
ACT-00005077,meeting,Activity 00005077,2023-11-07 09:30:43,CON-0005140,
ACT-00005078,demo,Activity 00005078,2024-08-02 18:43:38,CON-0010826,
ACT-00005079,call,Activity 00005079,2024-05-03 06:52:43,,OPP-0002473
ACT-00005080,email,Activity 00005080,2025-10-10 23:44:47,CON-0008900,OPP-0000960
ACT-00005081,email,Activity 00005081,2024-01-06 08:27:41,CON-0011625,OPP-0001803
ACT-00005082,call,Activity 00005082,2023-12-12 07:50:11,CON-0007482,
ACT-00005083,email,Activity 00005083,2024-07-22 09:17:20,CON-0003793,OPP-0000122
ACT-00005084,meeting,Activity 00005084,2023-05-20 23:28:01,,
ACT-00005085,meeting,Activity 00005085,2025-10-14 16:22:19,,
ACT-00005086,call,Activity 00005086,2023-06-06 13:48:40,CON-0009808,
ACT-00005087,call,Activity 00005087,2024-07-02 02:54:03,CON-0001134,
ACT-00005088,email,Activity 00005088,2024-08-22 00:12:15,CON-0005977,
ACT-00005089,email,Activity 00005089,2025-05-03 03:01:36,,
ACT-00005090,demo,Activity 00005090,2024-05-10 14:30:39,,OPP-0000060
ACT-00005091,call,Activity 00005091,2024-02-26 20:34:40,CON-0003955,OPP-0001837
ACT-00005092,call,Activity 00005092,2025-03-01 09:20:19,CON-0011461,
ACT-00005093,call,Activity 00005093,2023-06-01 16:24:58,CON-0000056,
ACT-00005094,email,Activity 00005094,2025-01-10 13:22:06,CON-0002129,
ACT-00005095,email,Activity 00005095,2024-05-12 18:20:19,CON-0007465,
ACT-00005096,email,Activity 00005096,2023-02-19 19:00:56,CON-0007435,
ACT-00005097,meeting,Activity 00005097,2025-01-24 14:16:21,CON-0011598,
ACT-00005098,email,Activity 00005098,2023-11-19 00:59:33,CON-0013851,OPP-0001317
ACT-00005099,email,Activity 00005099,2023-03-29 23:13:12,CON-0014872,
ACT-00005100,meeting,Activity 00005100,2025-12-27 18:21:10,CON-0000198,
ACT-00005101,email,Activity 00005101,2025-05-01 00:09:47,,OPP-0002482
ACT-00005102,demo,Activity 00005102,2024-12-17 12:30:12,CON-0001058,OPP-0000313
ACT-00005103,email,Activity 00005103,2023-06-07 00:17:32,CON-0009069,
ACT-00005104,email,Activity 00005104,2023-10-24 10:36:43,CON-0009557,
ACT-00005105,email,Activity 00005105,2024-12-19 10:26:18,CON-0002563,
ACT-00005106,note,Activity 00005106,2024-11-29 13:18:25,CON-0006893,OPP-0002973
ACT-00005107,call,Activity 00005107,2023-06-23 13:05:29,CON-0002408,OPP-0000479
ACT-00005108,call,Activity 00005108,2025-09-23 00:09:15,CON-0005494,
ACT-00005109,demo,Activity 00005109,2024-02-15 00:20:47,CON-0000392,OPP-0002669
ACT-00005110,email,Activity 00005110,2023-08-26 17:51:23,CON-0002005,OPP-0001237
ACT-00005111,meeting,Activity 00005111,2023-03-19 17:39:00,CON-0013008,
ACT-00005112,note,Activity 00005112,2023-06-18 06:12:35,,OPP-0000041
ACT-00005113,meeting,Activity 00005113,2025-08-25 05:13:52,CON-0010554,
ACT-00005114,demo,Activity 00005114,2024-08-25 23:24:53,CON-0012349,
ACT-00005115,call,Activity 00005115,2023-02-07 23:30:54,CON-0011250,OPP-0001067
ACT-00005116,call,Activity 00005116,2024-03-07 07:51:15,CON-0011758,OPP-0000997
ACT-00005117,email,Activity 00005117,2023-03-24 16:23:31,CON-0003614,
ACT-00005118,call,Activity 00005118,2024-10-13 23:43:49,CON-0008742,OPP-0001403
ACT-00005119,call,Activity 00005119,2025-11-08 12:47:51,,
ACT-00005120,meeting,Activity 00005120,2025-02-06 05:17:53,CON-0007548,OPP-0002176
ACT-00005121,note,Activity 00005121,2024-05-09 01:31:58,CON-0014416,OPP-0001058
ACT-00005122,call,Activity 00005122,2025-07-04 23:48:02,,
ACT-00005123,email,Activity 00005123,2025-04-02 19:15:34,,OPP-0001745
ACT-00005124,call,Activity 00005124,2025-12-01 20:38:23,CON-0008200,OPP-0000817
ACT-00005125,email,Activity 00005125,2025-01-09 08:21:14,CON-0009222,OPP-0002393
ACT-00005126,email,Activity 00005126,2023-10-22 04:10:33,,
ACT-00005127,call,Activity 00005127,2024-09-26 14:50:09,CON-0001235,OPP-0002601
ACT-00005128,call,Activity 00005128,2023-01-04 12:53:37,CON-0010158,
ACT-00005129,demo,Activity 00005129,2024-02-21 18:12:13,CON-0009661,
ACT-00005130,call,Activity 00005130,2023-10-08 23:53:12,CON-0011990,
ACT-00005131,call,Activity 00005131,2023-09-22 13:44:38,CON-0002089,
ACT-00005132,email,Activity 00005132,2024-10-08 13:41:37,CON-0004859,
ACT-00005133,email,Activity 00005133,2023-01-18 13:09:20,CON-0000702,OPP-0000225
ACT-00005134,call,Activity 00005134,2025-02-06 16:46:28,CON-0006573,
ACT-00005135,call,Activity 00005135,2025-03-08 18:29:15,,
ACT-00005136,email,Activity 00005136,2025-11-19 19:03:10,,
ACT-00005137,meeting,Activity 00005137,2024-10-17 02:13:01,CON-0014712,OPP-0002508
ACT-00005138,note,Activity 00005138,2025-09-03 20:54:45,CON-0004095,
ACT-00005139,call,Activity 00005139,2024-01-18 21:22:22,CON-0013692,OPP-0000839
ACT-00005140,email,Activity 00005140,2024-11-14 23:50:39,,
ACT-00005141,call,Activity 00005141,2024-03-16 14:52:15,CON-0008857,
ACT-00005142,meeting,Activity 00005142,2024-09-01 08:36:38,CON-0014104,
ACT-00005143,meeting,Activity 00005143,2023-11-13 19:36:13,,OPP-0002516
ACT-00005144,note,Activity 00005144,2023-09-21 08:23:31,,
ACT-00005145,call,Activity 00005145,2024-03-27 20:24:44,CON-0010437,
ACT-00005146,call,Activity 00005146,2023-01-17 01:59:34,CON-0005715,OPP-0001182
ACT-00005147,call,Activity 00005147,2025-01-05 17:57:55,CON-0004434,OPP-0002951
ACT-00005148,call,Activity 00005148,2023-01-25 08:34:02,,OPP-0000061
ACT-00005149,call,Activity 00005149,2023-12-24 22:55:55,CON-0011008,OPP-0000416
ACT-00005150,call,Activity 00005150,2024-09-06 02:50:21,CON-0014563,OPP-0002011
ACT-00005151,call,Activity 00005151,2024-12-08 12:25:12,CON-0011127,OPP-0000192
ACT-00005152,email,Activity 00005152,2023-08-16 04:37:12,CON-0006115,
ACT-00005153,meeting,Activity 00005153,2024-08-18 12:07:46,,
ACT-00005154,call,Activity 00005154,2024-01-20 13:38:11,CON-0008714,OPP-0001566
ACT-00005155,demo,Activity 00005155,2025-01-12 00:02:31,CON-0000855,
ACT-00005156,meeting,Activity 00005156,2023-10-27 00:43:55,CON-0011529,
ACT-00005157,email,Activity 00005157,2024-07-26 04:57:00,CON-0007332,
ACT-00005158,call,Activity 00005158,2024-09-21 13:27:06,CON-0010229,OPP-0001325
ACT-00005159,meeting,Activity 00005159,2024-10-18 02:48:51,CON-0004108,OPP-0001212
ACT-00005160,call,Activity 00005160,2025-12-14 09:08:47,,OPP-0000488
ACT-00005161,call,Activity 00005161,2023-04-17 00:33:39,CON-0003518,OPP-0001518
ACT-00005162,call,Activity 00005162,2024-03-05 22:27:29,CON-0005881,OPP-0001180
ACT-00005163,demo,Activity 00005163,2023-03-06 16:10:53,CON-0012975,OPP-0001922
ACT-00005164,email,Activity 00005164,2024-01-18 02:41:59,CON-0011457,
ACT-00005165,call,Activity 00005165,2025-12-15 20:52:51,CON-0014127,OPP-0000596
ACT-00005166,email,Activity 00005166,2024-08-11 18:51:15,,OPP-0001926
ACT-00005167,call,Activity 00005167,2023-12-24 09:45:06,CON-0007753,OPP-0002511
ACT-00005168,email,Activity 00005168,2025-10-14 17:25:11,CON-0011701,
ACT-00005169,call,Activity 00005169,2024-01-23 06:24:54,CON-0006992,OPP-0000932
ACT-00005170,demo,Activity 00005170,2023-08-17 21:04:59,CON-0003315,OPP-0000572
ACT-00005171,email,Activity 00005171,2024-10-16 12:38:17,CON-0012673,OPP-0001981
ACT-00005172,call,Activity 00005172,2024-04-06 12:34:02,,
ACT-00005173,email,Activity 00005173,2024-05-16 14:22:29,CON-0005523,OPP-0002585
ACT-00005174,email,Activity 00005174,2025-08-17 14:25:05,CON-0012489,OPP-0002359
ACT-00005175,meeting,Activity 00005175,2023-06-08 02:51:43,CON-0011347,OPP-0000493
ACT-00005176,email,Activity 00005176,2025-05-04 00:58:48,CON-0006430,
ACT-00005177,call,Activity 00005177,2025-01-14 10:18:21,,
ACT-00005178,call,Activity 00005178,2023-04-29 09:59:33,CON-0001995,
ACT-00005179,call,Activity 00005179,2024-06-28 14:24:37,CON-0002184,
ACT-00005180,call,Activity 00005180,2025-10-12 23:19:39,CON-0009970,
ACT-00005181,note,Activity 00005181,2024-07-15 07:55:58,,
ACT-00005182,demo,Activity 00005182,2025-12-28 08:06:34,CON-0004868,OPP-0000464
ACT-00005183,meeting,Activity 00005183,2025-07-21 01:02:16,,
ACT-00005184,email,Activity 00005184,2025-01-23 07:49:28,CON-0004869,
ACT-00005185,meeting,Activity 00005185,2023-02-25 02:49:24,,
ACT-00005186,meeting,Activity 00005186,2025-04-19 16:09:03,CON-0013858,OPP-0001824
ACT-00005187,email,Activity 00005187,2024-03-25 15:27:01,CON-0000497,
ACT-00005188,email,Activity 00005188,2025-01-15 03:21:40,,OPP-0001195
ACT-00005189,call,Activity 00005189,2025-05-23 16:29:11,CON-0007851,OPP-0001698
ACT-00005190,meeting,Activity 00005190,2025-03-25 16:16:10,,
ACT-00005191,meeting,Activity 00005191,2025-05-02 10:45:19,CON-0011456,OPP-0002988
ACT-00005192,demo,Activity 00005192,2024-06-14 08:27:14,,
ACT-00005193,meeting,Activity 00005193,2024-01-22 16:24:25,CON-0009901,OPP-0001401
ACT-00005194,call,Activity 00005194,2024-05-02 20:36:16,,OPP-0002841
ACT-00005195,email,Activity 00005195,2024-01-04 19:46:09,,
ACT-00005196,call,Activity 00005196,2023-01-08 11:33:54,CON-0004433,OPP-0000170
ACT-00005197,meeting,Activity 00005197,2024-05-23 04:25:32,CON-0008111,OPP-0000928
ACT-00005198,call,Activity 00005198,2023-08-31 04:07:43,,OPP-0000233
ACT-00005199,email,Activity 00005199,2024-02-26 17:23:54,,OPP-0001411
ACT-00005200,call,Activity 00005200,2024-07-10 12:06:39,CON-0011433,
ACT-00005201,meeting,Activity 00005201,2023-06-23 13:34:48,CON-0011435,
ACT-00005202,call,Activity 00005202,2023-03-06 08:25:35,,
ACT-00005203,email,Activity 00005203,2023-02-24 23:06:10,CON-0014146,
ACT-00005204,email,Activity 00005204,2025-03-19 04:27:43,CON-0013990,
ACT-00005205,demo,Activity 00005205,2023-01-08 15:06:20,CON-0001439,OPP-0001617
ACT-00005206,email,Activity 00005206,2024-12-25 06:56:43,CON-0005967,OPP-0000240
ACT-00005207,demo,Activity 00005207,2025-02-23 14:03:57,CON-0003796,OPP-0000998
ACT-00005208,meeting,Activity 00005208,2024-06-25 23:49:20,,OPP-0001341
ACT-00005209,email,Activity 00005209,2023-08-05 12:45:06,CON-0011073,
ACT-00005210,meeting,Activity 00005210,2025-07-10 06:33:44,,OPP-0002879
ACT-00005211,meeting,Activity 00005211,2023-02-18 09:11:43,CON-0011081,OPP-0001003
ACT-00005212,note,Activity 00005212,2024-09-21 13:39:22,CON-0004385,
ACT-00005213,call,Activity 00005213,2023-05-22 00:30:30,CON-0002871,
ACT-00005214,email,Activity 00005214,2024-05-28 11:26:02,CON-0000059,OPP-0000151
ACT-00005215,call,Activity 00005215,2025-04-10 15:43:07,CON-0008103,
ACT-00005216,email,Activity 00005216,2024-07-20 11:20:42,,
ACT-00005217,call,Activity 00005217,2025-12-28 17:09:43,CON-0006509,OPP-0000200
ACT-00005218,meeting,Activity 00005218,2023-09-20 23:55:56,CON-0014396,OPP-0002951
ACT-00005219,email,Activity 00005219,2025-05-26 05:24:59,CON-0011673,OPP-0001271
ACT-00005220,call,Activity 00005220,2025-05-27 08:30:33,CON-0007040,OPP-0001852
ACT-00005221,note,Activity 00005221,2024-05-08 21:50:32,CON-0012501,OPP-0000206
ACT-00005222,call,Activity 00005222,2024-03-21 01:41:38,CON-0008393,OPP-0002475
ACT-00005223,call,Activity 00005223,2025-10-01 20:32:18,CON-0003531,
ACT-00005224,email,Activity 00005224,2025-05-15 11:13:25,CON-0003193,
ACT-00005225,email,Activity 00005225,2023-11-24 01:48:01,CON-0003551,OPP-0000069
ACT-00005226,email,Activity 00005226,2025-01-15 23:54:54,CON-0008600,
ACT-00005227,call,Activity 00005227,2023-05-26 01:08:51,,
ACT-00005228,call,Activity 00005228,2023-07-18 00:57:11,CON-0003521,OPP-0002152
ACT-00005229,note,Activity 00005229,2025-10-21 11:32:30,,OPP-0001841
ACT-00005230,call,Activity 00005230,2025-04-22 00:19:44,CON-0000317,OPP-0001565
ACT-00005231,meeting,Activity 00005231,2025-04-29 04:55:01,CON-0006024,OPP-0001359
ACT-00005232,email,Activity 00005232,2024-06-20 13:45:27,,OPP-0002093
ACT-00005233,call,Activity 00005233,2025-02-26 00:34:06,,
ACT-00005234,email,Activity 00005234,2024-05-25 17:32:15,CON-0006816,OPP-0002727
ACT-00005235,meeting,Activity 00005235,2025-01-05 20:26:05,,OPP-0001008
ACT-00005236,call,Activity 00005236,2023-08-18 06:13:57,CON-0011926,OPP-0000783
ACT-00005237,email,Activity 00005237,2025-08-17 10:22:13,,
ACT-00005238,meeting,Activity 00005238,2025-05-29 13:30:24,CON-0003750,OPP-0000742
ACT-00005239,email,Activity 00005239,2024-10-24 02:45:43,CON-0001909,
ACT-00005240,meeting,Activity 00005240,2023-12-14 20:12:27,CON-0006550,OPP-0000304
ACT-00005241,email,Activity 00005241,2023-05-01 19:53:18,CON-0002847,OPP-0002051
ACT-00005242,email,Activity 00005242,2023-01-31 20:06:05,CON-0004023,
ACT-00005243,email,Activity 00005243,2023-09-03 15:13:44,,
ACT-00005244,call,Activity 00005244,2024-10-26 12:16:57,CON-0007818,OPP-0000770
ACT-00005245,call,Activity 00005245,2025-07-27 18:58:22,CON-0002039,
ACT-00005246,call,Activity 00005246,2023-04-30 21:01:40,,
ACT-00005247,email,Activity 00005247,2024-12-14 23:37:46,CON-0014957,OPP-0002512
ACT-00005248,email,Activity 00005248,2023-05-18 19:51:28,CON-0013830,
ACT-00005249,call,Activity 00005249,2023-07-30 00:30:27,,OPP-0000166
ACT-00005250,call,Activity 00005250,2023-01-24 04:53:51,CON-0009422,OPP-0000576
ACT-00005251,call,Activity 00005251,2023-11-22 11:36:10,CON-0014685,
ACT-00005252,demo,Activity 00005252,2023-03-19 18:16:40,CON-0004416,
ACT-00005253,email,Activity 00005253,2025-06-20 00:46:12,CON-0008705,OPP-0000693
ACT-00005254,email,Activity 00005254,2025-05-11 04:15:45,CON-0011952,
ACT-00005255,email,Activity 00005255,2025-07-24 18:29:50,CON-0002804,
ACT-00005256,email,Activity 00005256,2025-06-01 06:57:01,CON-0014034,
ACT-00005257,call,Activity 00005257,2024-02-17 22:16:37,CON-0007478,
ACT-00005258,email,Activity 00005258,2023-01-14 00:46:46,CON-0011019,OPP-0002707
ACT-00005259,email,Activity 00005259,2024-07-10 05:13:08,CON-0009346,OPP-0000596
ACT-00005260,meeting,Activity 00005260,2024-09-29 23:45:47,,OPP-0001332
ACT-00005261,note,Activity 00005261,2023-01-29 21:46:09,,
ACT-00005262,email,Activity 00005262,2025-12-16 13:02:10,CON-0006975,OPP-0002480
ACT-00005263,email,Activity 00005263,2023-04-19 10:29:51,CON-0004304,OPP-0002835
ACT-00005264,demo,Activity 00005264,2024-10-13 03:51:19,CON-0003991,OPP-0002551
ACT-00005265,call,Activity 00005265,2023-12-28 01:21:19,,OPP-0001311
ACT-00005266,email,Activity 00005266,2024-12-16 07:26:33,,
ACT-00005267,call,Activity 00005267,2025-07-14 12:05:35,CON-0005960,OPP-0001528
ACT-00005268,call,Activity 00005268,2023-12-27 06:47:55,CON-0013096,OPP-0000868
ACT-00005269,email,Activity 00005269,2024-05-17 20:53:19,,OPP-0000504
ACT-00005270,call,Activity 00005270,2024-08-27 03:07:34,CON-0004785,
ACT-00005271,email,Activity 00005271,2023-04-09 04:55:35,CON-0010957,
ACT-00005272,call,Activity 00005272,2024-09-08 07:13:03,CON-0004189,
ACT-00005273,email,Activity 00005273,2025-01-30 23:13:12,,
ACT-00005274,email,Activity 00005274,2024-10-23 07:17:09,CON-0010444,
ACT-00005275,meeting,Activity 00005275,2024-05-21 03:43:14,CON-0004024,OPP-0002324
ACT-00005276,demo,Activity 00005276,2025-04-21 10:58:48,CON-0008750,OPP-0000599
ACT-00005277,email,Activity 00005277,2023-08-31 15:49:52,,
ACT-00005278,email,Activity 00005278,2024-02-14 11:35:56,CON-0002376,OPP-0001973
ACT-00005279,demo,Activity 00005279,2025-10-18 08:54:27,CON-0012577,OPP-0002077
